code,constituency,name,party,coalition
P169,Kota Belud,Isnaraissah Munirah Majilis,WARISAN,
P170,Tuaran,Wilfred Madius Tangau,UPKO,GRS
P171,Sepanggar,Mustapha @ Mohd Yunus Sakmud,PKR,PH
P172,Kota Kinabalu,Chan Foong Hin,DAP,PH
P173,Putatan,Shahelmey Yahya,UMNO,BN
P174,Penampang,Ewon Benedick,UPKO,GRS
P175,Papar,Armizan Mohd Ali,GRS,
P176,Kimanis,Mohamad Alamin,UMNO,BN
P177,Beaufort,Siti Aminah Aching,UMNO,BN
P178,Sipitang,Matbali Musah,GRS,
P179,Ranau,Jonathan Yasin,GRS,
P180,Keningau,Jeffrey Kitingan,STAR,
P181,Tenom,Riduan Rubin,KDM,
P182,Pensiangan,Arthur Joseph Kurup,PBRS,BN
P183,Beluran,Ronald Kiandee,BERSATU,PN
P184,Libaran,Suhaimi Nasir,UMNO,BN
P185,Batu Sapi,Khairul Firdaus Akbar Khan,GRS,
P186,Sandakan,Vivian Wong Shir Yee,DAP,PH
P187,Kinabatangan,Mohammad Naim Kurniawan Moktar since 24 January 2026,UMNO,BN
P188,Lahad Datu,Mohammad Yusof Apdal,WARISAN,
P189,Semporna,Mohd Shafie Apdal,WARISAN,
P190,Tawau,Lo Su Fui,PBS,GRS
P191,Kalabakan,Andi Muhammad Suryady Bandy,UMNO,BN
P192,Mas Gading,Mordi Bimol,DAP,PH
P193,Santubong,Nancy Shukri,PBB,GPS
P194,Petra Jaya,Fadillah Yusof,PBB,GPS
P195,Bandar Kuching,Kelvin Yii Lee Wuen,DAP,PH
P196,Stampin,Chong Chieng Jen,DAP,PH
P197,Kota Samarahan,Rubiah Wang,PBB,GPS
P198,Puncak Borneo,Willie Mongin,PBB,GPS
P199,Serian,Richard Riot Jaem,SUPP,GPS
P200,Batang Sadong,Rodiyah Sapiee,PBB,GPS
P201,Batang Lupar,Mohamad Shafizan Kepli,PBB,GPS
P202,Sri Aman,Doris Sophia Brodi,PRS,GPS
P203,Lubok Antu,Roy Angau Gingkoi,PRS,GPS
P204,Betong,Richard Rapu,PBB,GPS
P205,Saratok,Ali Biju,BERSATU,PN
P206,Tanjong Manis,Yusuf Abd Wahab,PBB,GPS
P207,Igan,Ahmad Johnie Zawawi,PBB,GPS
P208,Sarikei,Huang Tiong Sii,SUPP,GPS
P209,Julau,Larry Sng Wei Shien,PBM,
P210,Kanowit,Aaron Ago Dagang,PRS,GPS
P211,Lanang,Alice Lau Kiong Yieng (Deputy Speaker),DAP,PH
P212,Sibu,Oscar Ling Chai Yew,DAP,PH
P213,Mukah,Hanifah Hajar Taib,PBB,GPS
P214,Selangau,Edwin Banta,PRS,GPS
P215,Kapit,Alexander Nanta Linggi,PBB,GPS
P216,Hulu Rajang,Wilson Ugak Kumbong,PRS,GPS
P217,Bintulu,Tiong King Sing,PDP,GPS
P218,Sibuti,Lukanisman Awang Sauni,PBB,GPS
P219,Miri,Chiew Choon Man,PKR,PH
P220,Baram,Anyi Ngau,PDP,GPS
P221,Limbang,Hasbi Habibollah,PBB,GPS
P222,Lawas,Henry Sum Agong,PBB,GPS
